age,gender,signs_of_mental_illness,threat_level,flee,body_camera
53,1,1,1,0,FALSE
47,1,0,1,0,FALSE
23,1,0,0,0,FALSE
32,1,1,1,0,FALSE
39,1,0,1,0,FALSE
18,1,0,1,0,FALSE
22,1,0,1,1,FALSE
35,1,0,1,0,FALSE
34,0,0,0,0,TRUE
47,1,0,1,0,FALSE
25,1,0,1,0,FALSE
31,1,0,1,0,FALSE
41,1,1,0,0,FALSE
30,1,0,1,1,FALSE
37,1,0,1,1,TRUE
28,1,0,0,0,FALSE
42,1,0,1,0,TRUE
36,1,0,1,0,FALSE
49,1,0,1,0,TRUE
71,1,0,1,0,FALSE
33,1,0,1,0,FALSE
39,1,1,1,0,FALSE
23,1,0,1,0,FALSE
29,1,0,1,1,FALSE
34,1,0,1,1,TRUE
43,1,1,0,0,FALSE
24,1,0,1,0,FALSE
29,1,0,1,0,FALSE
34,1,1,1,0,FALSE
75,1,0,1,0,FALSE
68,1,0,1,0,FALSE
34,1,0,1,0,TRUE
27,1,0,1,1,FALSE
39,1,0,1,0,FALSE
24,1,1,1,0,FALSE
36,1,1,0,0,FALSE
33,1,0,1,0,FALSE
41,1,0,1,1,FALSE
48,1,0,0,0,FALSE
21,1,0,1,1,TRUE
24,1,0,1,0,FALSE
27,1,0,1,0,FALSE
32,1,1,1,0,FALSE
67,1,1,1,0,FALSE
49,1,0,1,0,FALSE
42,1,0,0,1,FALSE
36,1,0,1,0,FALSE
36,1,0,1,1,FALSE
19,1,0,1,0,FALSE
54,1,1,1,0,FALSE
25,1,0,1,1,FALSE
17,0,1,0,0,FALSE
29,1,0,0,0,FALSE
56,1,0,0,0,FALSE
61,1,1,1,0,FALSE
45,1,0,1,0,FALSE
26,1,1,0,0,FALSE
40,1,0,1,0,FALSE
26,1,0,1,1,FALSE
59,1,0,1,0,FALSE
17,0,0,0,0,FALSE
68,1,1,1,0,FALSE
24,1,0,0,1,FALSE
34,1,1,0,0,FALSE
39,0,1,1,0,FALSE
26,1,0,0,0,FALSE
29,1,0,1,0,FALSE
33,1,0,1,0,FALSE
45,1,0,1,0,FALSE
26,1,0,1,0,FALSE
35,1,1,1,0,FALSE
31,1,1,1,0,FALSE
42,1,0,0,1,FALSE
48,1,0,1,1,FALSE
31,1,0,1,0,FALSE
54,1,1,0,0,FALSE
42,1,1,1,0,FALSE
17,1,0,1,0,FALSE
59,1,0,0,1,FALSE
23,1,0,1,1,FALSE
38,0,0,1,1,FALSE
29,1,1,0,0,FALSE
45,1,1,1,0,FALSE
28,1,0,1,0,FALSE
37,1,0,1,0,FALSE
28,1,0,1,1,FALSE
28,1,0,0,0,FALSE
51,1,0,1,1,FALSE
36,1,0,0,0,FALSE
59,1,0,0,1,FALSE
25,1,0,1,0,FALSE
